companyname,registrycode,foundingdate,totalcapital
Comp LLC,8487153,2001-12-12,37144
Global Inc,5610927,2000-06-06,42820
Global Group,6519211,2000-07-21,25011
Systems Inc,2695013,2001-05-20,33521
Global AS,9234153,2018-05-20,49328
Comp Group,9000186,2005-07-26,3201
Net LLC,8735781,2008-03-01,5140
Biz LLC,6389519,2007-04-10,39695
Systems AS,4790356,2002-07-20,45280
Uni Ltd,6889244,2014-01-30,29960
Uni OÜ,1966496,2016-07-20,35690
Uni AS,5865414,2005-05-25,9283
Net Group,3059234,2004-05-16,44981
Tech Inc,7931876,2023-09-13,5182
Tech Group,9534762,2003-06-25,30975
Firma Inc,2505802,2006-01-22,39836
Net AS,4070342,2006-05-25,50488
Firma AS,7856136,2021-06-21,9524
Tech AS,9800696,2010-08-20,34106
Trade Group,4863689,2001-10-01,11645
Corp Inc,1980109,2024-11-06,24536
Uni Group,3789157,2021-03-01,29442
Net Inc,8407828,2008-02-29,29611
Net OÜ,7617105,2002-01-20,37667
Global AS,3377454,2006-03-20,35205
Trade Ltd,6505253,2006-11-08,39660
Systems OÜ,2608372,2011-08-22,56311
Uni Ltd,2874247,2010-08-17,32057
Uni Ltd,5082777,2016-10-20,52078
Comp Ltd,1663031,2008-12-11,39750
